Country Name,Country Code,Series,Series Code,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465,55000,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006,77000,..
Andorra,AND,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,465,433,407,455,508,558.5,553.5,..
Andorra,AND,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,28,26,52,39,32,24,35,..
Andorra,AND,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15,18,23,26,25.5,23.5,..
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,360,390,590,710,1010,1370,1810,2460,3030,3170,3240,3420,4170,4780,5010,4520,3770,3560,3370,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825000,..
Angola,AGO,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10140,9850,9670,10530,11440,12410,13800,15070,15230,13560,12690,12370,12780,12610,12730,12970,13460,14440,15890,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286,97000,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..
Arab World,ARB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2388.342883,2472.8313,2466.77931,2642.997655,3035.768077,3497.483125,4112.095156,4730.939606,5546.406244,5640.075465,5913.744794,6305.644064,7196.532736,..,..,..,..,..,..,..,..
Arab World,ARB,"Population, total",SP.POP.TOTL,277561423,283493089,289680968,296095945,302824676,309824383,317125787,324693498,332424892,340149038,347737036,355137048,362466629,369761523,..,..,..,..,..,..,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,7550653.393,8039773.4,8443723.228,8907244.237,9006920.737,9233410.042,9261392.02,..,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,734421.0535,777113.9024,794558.9985,848463.1831,899892.3891,935082.8879,959788.5273,..,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,73564.44466,79382.41886,83519.74154,92339.45826,107962.204,100056.6618,103904.838,103715.3815,109055.6436,114659.7321,117511.6044,122102.6606,125660.8911,136923.6513,149289.8226,152651.1119,162680.6027,171023.6013,177403.0985,..,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7470,7000,4040,3650,3370,4260,5480,6510,7670,7800,9270,10710,11890,12870,12350,12600,12220,13120,12390,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44901000,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2210454,..,..,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,276648,..,..,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,5973,6015,6073,7277,4967,4981,10880,11410,12715,13549,18248,21246,22787,24595,23993,25960,26568,26098,..,..,..
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4110,4140,4010,3760,3950,4230,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,2958000,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,90145,85922,79623,84591,81648,78747,69622,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,12105,14932,14476,11911,10910,11793,10855,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1032,1012,1358,1320,1405,1520,1562,1568,1474,1392,1449,1289,1099,1155,1277,1269,1217,1255,1130,985,..
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22370,22450,23520,23970,24500,23780,23550,23630,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,106000,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,825,870,788,848,..,..,..,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,93,79,104,55,..,..,..,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21120,20110,19990,21120,25480,30310,34090,37300,42330,44050,46630,50320,60210,66020,65150,60500,54140,51600,53230,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25303000,..
Australia,AUS,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,905913,930675,952578,977963,981844,999034,..,..
Australia,AUS,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,204739,233268,248800,264976,269041,304632,..,..
Australia,AUS,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,27615,28960,33430,35258,37070,38776,40417,41355,42403,44249,47054,49973,52317,55086,56360,57492,58027,55669,56110,..,..
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,26790,25290,24970,28020,33750,38720,41460,44510,49110,49000,49610,50590,50060,50700,50370,47450,46220,45120,49310,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8865000,..
Austria,AUT,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,180234.0047,179406.1389,183767.5948,192466.6784,195963.5331,199235.7313,..,..
Austria,AUT,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,140087.2222,139696.9169,140268.9028,137751.8087,135559.9904,135346.1126,..,..
Austria,AUT,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,25656.56536,24579.41842,24058.24892,23511.881,22867.89673,20396.37352,..,..
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,610,650,710,810,940,1270,1900,2710,3870,4790,5370,5460,6410,7410,7690,6570,4760,4070,4050,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939800,10032000,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,139748,143906,143620,147207,150082,149192,160631,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,10277,11742,18781,17959,17935,18485,20954,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,962,1010,1022,1117,1235,1386,1559,1785,1764,1729,1148,877,1082,2012,2496,2935,2875,2723,2723,2626,..
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25940,26560,27190,27760,29270,30570,30760,31090,30960,29010,28370,28030,29020,28380,27720,28300,28910,29930,30520,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640,389000,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10940,11500,12060,12940,14570,16550,17890,19660,20860,18830,18970,18160,22010,23790,24070,22660,21610,21180,21890,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641000,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29881,31520,33982,36309,38562,40003,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3795,4104,3594,3570,3788,4035,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,4,..,10,5,..,..,..,..,..,..,..,135,121,125,183,140,268,..
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,440,440,440,460,510,550,570,610,660,730,800,890,970,1040,1110,1220,1370,1520,1750,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046000,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2073521,2122613.894,2462422,2919335,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,471080,482232,495539,563065,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1192,1438,1387,1521,2336,2582,3183,6620,6644,6737,..,7090,6324,..,7092,..,12602,12900.36634,13213,..,..
Barbados,BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11000,10850,10880,11540,12550,13520,14240,15580,16170,15820,15570,15060,15920,15460,15320,15270,14880,15000,15410,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641,287000,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,446,450,..,..,..,..,..,62,..,227,127,133,..,..,..,..,..,..,..,..,..
Belarus,BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1380,1300,1380,1630,2180,2820,3510,4310,5470,5660,6210,6330,6670,7010,7600,6720,5620,5300,5670,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9467000,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,428448,395268,..,336373,313240,284348,..,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,6088,7552,..,10227,11782,14947,..,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,4927,5314,5692,6166,6065,5529,5173,4642,4642,4405,4681,5043,6229,5906,5507,5182,5284,5522,5652,..,..
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25860,24430,24000,27030,32810,37730,39900,42700,46470,46840,46950,46400,47100,47880,47800,45540,43440,42720,45910,..,..
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11433256,11483000,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,364202,362780,365925,369299,384173,372686,..,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,85553,92959,97920,97979,102067,102785,..,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,5916,5613,6350,6424,7014,7391,7482,7389,9779,12505,13410,13323,14168,14610,15604,16486,16685,17021,17339,..,..
Belize,BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3150,3140,3220,3450,3590,3670,3780,3730,3930,4120,3930,4080,4120,4170,4230,4420,4330,4290,4470,..,..
Belize,BLZ,"Population, total",SP.POP.TOTL,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,390000,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,4652,4762,4657,4977,5129,5260,5383,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,0,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,390,390,390,440,530,600,630,670,750,790,790,800,820,890,930,860,820,800,870,..,..
Benin,BEN,"Population, total",SP.POP.TOTL,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801000,..
Benin,BEN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,15626,19094,19820,21174,13322,14431,12657,..,..
Benin,BEN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,37,46,..,..,..,..,..,..,..,..,..,..,1347,1405,1610,1983,1933,2072,2060,..,..
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,117640,120490,111580,110440,107530,106080,106140,..,..,..,..,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,64555,63874,63973,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,8,..,0,0,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..
Bhutan,BTN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,730,770,810,910,1030,1200,1330,1640,1770,1860,2040,2240,2390,2410,2460,2520,2650,2800,2970,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,763000,..
Bhutan,BTN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,6849,..,..,..,..,9472,..,10398
Bhutan,BTN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,416,..,..,..,..,835,..,398
Bhutan,BTN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,980,950,920,910,950,1020,1110,1220,1480,1620,1780,1990,2250,2590,2830,2960,3040,3090,3370,..,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513000,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1490,1610,1770,2040,2590,3180,3510,3920,4730,4970,4950,5010,4990,5270,5300,5210,5130,5110,5740,..,..
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3751176,3755512,3759387,3762173,3764194,3765331,3765424,3762786,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,3301000,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,97326,94157,96425,86199,80906,74365,67031,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,14736,17104,11333,19953,20413,19921,21004,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,545,709,717,823,913,856,981,..
Botswana,BWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3170,3260,2930,3370,3920,4940,5440,5730,5740,5330,5650,6850,7800,8000,7840,6960,6880,7020,7750,..,..
Botswana,BWA,"Population, total",SP.POP.TOTL,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,2304000,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30007,33206,32232,31360,..,34515,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1587,2234,2396,2263,..,2266,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52,208,133,193,..,123,..
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3930,3350,3090,2980,3340,4000,4850,6190,7620,8320,9660,11080,12360,12810,12100,10160,8930,8670,9140,..,..
Brazil,BRA,"Population, total",SP.POP.TOTL,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211050000,..
Brazil,BRA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,7282230,7805816,8027297,8048701,8286663,8450755,..,..
